id,text
20,Trabzon Havaalanı 22 Haziran saat: 23:50 anlık @AJET_TR rötarları. 2024 Türkiyesinde sıcak havadan rötar yiyen! bir havayolu şirketi var sanırım!#ajet @AJ_DestekYUH ! #rötar
21,15 hat numarali otobus. Uygulamanizda uskudar kalkis icin 09.47 yaziyor (Fotografini bi sonraki tivite koyucam). Ama otobus 09.42de kalkti. Videoda da goruluyor. Arkadaslarim yetismem icin kosuyorlardi. Gerek kalmadi. Tesekkurler. @iettdestek @ibbBeyazmasa
22,Rüzgarnet'i 9 ay kadar kullandım ve ev değişikliği yaptım nakil talebi bulunduğumda tarafıma IBAN göndererek 600 TL ödemem halinde nakil işlemini yapacaklarını belirttiler fakat kontrol ettiğimde yeni ikametimde port olmadığını gördüm.\n\nKendilerini tekrar aradığımda bana hiçbir şekilde bugün veya yakın tarihte hizmet veremeyeceklerini altyapı sorunu olduğunu belirttiler. Şu an geldiğimiz noktada 20 gündür eski evimde kullanılmayan internete fatura kesiyorlar.\n\nAboneliğim hala aktif ve cayma bedeli hesaplamak için yazılı imzalı kağıt istiyorlar. Birçok firma hizmeti kendisi veremediği durumlarda cayma bedeli istememektedir.
23,Blutv firması www.blutv.com internet sitesinde üyeliğin istendiği zaman iptal edilebileceğini belirtiyor. Ancak iptal sonrası kredi kartınızdan almadığınız üyeliğin ücretini tahsil etmeye devam ediyor. Kendilerine sorulduğu zaman isterseniz izleye devam edebiliriz. Hizmet almasanızda biz tahıl ederiz diyorlar.
24,4.Sanayi Devrimi değerlerin devrimi olmalıdır. #SosyalMedyaYönetimi #Endüstri4 #DijitalDönüşüm #KOBİFinansman #Webtasarımı #kobidestek
25,pil dayanıklılığı ve kullanım kolaylığı çok güzel.
26,Pilde kaliteli üründen taviz vermemek gerekiyor. Fiyatı da uygun
27,14.06.2024 tarihinde arıza kaydı oluşturdum. Bugün kaydımızı yeni oluşturduklarını söylüyorlar. Böyle bir saçmalık olabilir mi? Evde o kadar kişi tatildeyken internetsiz kaldık. Şimdi de kaydınızı oluşturduk diyorlar. Ben o faturayı tam ödeyeceğim ama bir haftada internetsiz kalacağım. Evde hepimizin paketlerindeki internet bitti. Yani ben böyle bir saçmalık görmedim.
28,Adım Yusuf İzzettin A***. Kurban Bayramı arifesinde kuzenim vefat etti. Daha önceden bayrama bilet almış olduğum Pegasus uçak biletim 16.06.2024 İzmir'den kalkış İstanbul aktarmalı Trabzon seferiydi. Bileti Pegasus'un kendi internet sitesi üzerinden aldım. Bilet saati İzmir kalkış 07:55 İstanbul varış 09:05 İstanbul kalkış 09:10 Trabzon'a varış 10:55 idi. Bayramın 1. günü biletimle sabah havaalanına gittim. Bu uçakların iniş kalkış aralığı şüphe uyandırdı. Havaalanına gittiğimde bagajı teslim ederken görevli arkadaşa sordum 'Bu uçak arası 5 dakika görünüyor. Sorun yaşamayalım sonra bir problem olur mu?' dedim. Bize 'Hayır sorun yaşamazsınız onu ayarlamışlardır' denildi. İstanbul'a vardığımızda transfer noktasında uçağın kalktığını bizi bir sonraki sefere yönlendireceklerini söylediler ve bize saat 14:40 uçağında yer vereceklerini söylediler. Daha öncesinde uçuşlar vardı. Benim o gün hem doğum günüm hem bayram ailemi ziyaret edeceğim hem de acımız var cenazemiz var cenazeye yetişeceğim. Ne gişelerdeki görevliler ne Pegasus gişesindeki görevliler ne de Pegasus müşteri hizmetleri hiç yardım etmediler. Yardımcı olmadılar. Saat 14:40'taki uçak 2 defa rötar yaptı. 15:55'te kalktı ben Trabzon'a saat 17:05'te vardım. Trabzon'a gitmek için 4'te kalkıp havaalanına gittik. Otomobilimle gitseydim 3 saat sonra zaten Trabzon'da olacaktım. Pegasus'da daha önce de sorun yaşamıştım. Normal zamanlarda sineye çekilebilir ki çektik. İnsanlık hali olabilir dedik ama böyle bir günde bana eşime 3 yaşındaki çocuğuma bunu yaşatan Pegasus'u gerçekten kınadım. Yazıklar olsun ki ben biletlerimi önceden alıp koltuk dahi önden almıştım. İstanbul-Trabzon uçağında 3. sıradaydık 25. sırayı verdiler. Bildiğiniz yoldan şaşmayın pişmanlık çekmeyin.
29,@bacaksamet Merhaba bu konuda @ayedasdestek size yardımcı olacaktır. İyi günler dileriz.
30,13.10.2023 tarihinde 13.29 saatinde hesabımdan Nomupay/S Sport Plus adı altında 49999 TL çekilmiş. Ne için çekildi bilmiyorum. Hiçbir yere üyeliğimde yok. Paramın geri iadesini istiyorum. İadesi olmaz ise CİMER'e şikayet oluşturacağım. İlgilenirseniz sevinirim.
31,@ziraatyatirim @ZiraatDestek #zborsa uygulamaya giriş yapılamıyor
32,Sürekli internet kesintim olduğu için Millenicom firmasını aradım çözüldü gitti sürekli bir şeyler oluştu düzenli bir şekilde kullanamadım. 2019 Dan beridir müşterisiyim. En son kabloda sıkıntı olduğu için benim tarafımdan yapılması gerekiyormuş. Ücretini her şeyini ben karşılamam gerekiyormuş. Bende taahhüdüm bittiği için kapatmak istedim. Sonra arkadaşlarla konuştuğumda eski müşterimizsiniz size yardımcı olalım yeni kablo yeni modem diye bana ücretsiz bir şekilde önerim sağladılar. Bende okeyledim. Sonra herhangi bir şekilde gelen giden olmadı ve o süre zarfı içinde internet faturam çıkıyor. Tekrar aradım dedim gelen giden yok sonrasında tekrardan konuştuğumuzda arıza kaydı bırakmamız lazım dendi o şekilde ilerleyelim dendi. Okeyledim geldiler kablo bırakıp gittiler. Kabloyu siz taktırın dendi bağlantıları biz yaparız Denim gidildi. Ben 60 metre kabloyu tek başıma çektim müşteri olarak. Sonra tarihlerini hatırlamadığım için önemsenmiyor. Bir arkadaşla konuştuğumda bana paket sundu. Ekstra Bein Connect paketi sunuldu 6 ay ücretsiz kullanabilirsiniz denildi. Ve bana Digiturk faturası geldi. Aradığımda bizimle böyle bir konuşma yapılmadığı söyleniyor. Telefon kayıtlarına bakın diyorum tarih bilmeniz gerekiyor dendi en son konuştuğum ses kayıtlarında olan bir konuşma olmadığı söyleniyor. Düpedüz hak yemektir bu. Büyük pişmanlık yaşıyorum.
33,Başlıycam yapacağınız işe daha doğalgazı 1 gün bile açmamışken nasıl 268 lira fatura gelebilir. Kışın anamız ağlıycak o zaman desenize daha petek kullanmaya başlamadan bu kadar fatura geliyorsa kullanınca ne olacak merak ediyorum @igdaskurumsal @igdasdestek
34,Hattımı Pttcellden Vodafone taşıdım. Her ay paket yüklemeden devlete ödenen telsiz kulanım hakkını peşin peşin alırdı. Şimdi mesaj atmışlar devlete sizin adınıza ödenmiş olan 119.09 TL telsiz kullanım borcunuzu numara taşıdığınız işletmeciye iletildi diye. Böyle bir borcum falan yok olmayan bir borcu hangi cesaretle isteye biliyorlar anlayamadım. Fotoğraf yüklüyorum hattımı taşımadan ödediğim telsiz kullanım ücretini
35,Paketlenmesi çok iyiydi. Gece sipariş vermiştim 12 saat olmadan teslim edildi. Üründe çok iyi. Sızdırma vs zaten yok. Saatlerce soğuk tuttu ama buzlu içecek koydum bir saat sonra buzlar erimişti. Direkt buzu koyunca 48 saat tutuyor herhalde.
36,Murat Tavlı 8 Nisan Cumartesi Merzifon Kitap Fuarı'nda okuyucularıyla buluşuyor.#destekmedyagrubu
37,@ciceksepeti @csdestek buraya yazdığım zaman sürekli yeniden istek açıp zamanımızı boşuna harcıyorsunuz. Sizden gelen cevap mudur yani ? Ürüne zam geldiği zaman stoklarda yok demek mi ? Burada siz sorumlu değil misiniz ? Bu nasıl bir müşteri memnuniyetidir ? Size yakışıyor mu ?
38,@hakancamoglu @TurkNetAdsl @TurkNetDestek Cidden ne zaman profesyonelleşecekler çok merak içindeyim Hakan Hocam
39,@TTDestek @lavveSsetA bu ttdestek verified mi?
40,Bu kadar kötü hat şebekesi olamaz sanki mobil hatların ilk yılları gibi şebeke çekecek yer arıyorsun internet ondan beter bu kadar kalitesiz. Verdiğim onca paraya rağmen aldığım hizmet inanılmaz kötü. Vodafone kendini hiç geliştirilmemiş. Hizmet kalitesi giderek kötüleşiyor.
41,Rüzgarnet diye internet sağlayıcısına geçtim geçmez olaydım. Tam bir bela kaç gündür net yok ondan önce de kesilip kesilip duruyordu. Şimdi de 3 aylık taahhütlü abonelik varmış cayarsam cayma bedeli yansırmış falan bu yanlış Tüketici Hakları'na şikayet ederim. Sonuçta hem sundukları hızı vermiyorlar hem de taahhütsüz deyip abonelik yaptırıyorlar yardımcı olur musunuz?
42,Merhaba beni 0312 890 0625 numarası ve birkaç farklı numaradan aynı şekilde arayıp Türk Telekom teklifinde bulunuyorlar. Kullandığım altyapının Türk Telekom'a geçtiğinden daha hızlı internet alacağımdan bahsediyorlar. Bu kişiler ev adresimi telefonumu adımı soyadımı ve TÜRKSAT abonesi olduğumu biliyorlar. Türk Telekom'a geçişte kimliğimi gönderecekleri linkten yüklemem gerekiyormuş. Bu bilgileri sizden nasıl aldılar? Benim kişisel bilgilerimi kime verdiniz?
43,Merhaba TikTok hesabımda profil görüntüleme seçeneği profilimde yok. Onun yerinde etkinlik var. Başka hesaplarda var ama kendi hesabımda yok. Çok uğraştım ama bir türlü geri gelmiyor. Benzer bir durum yaşayan veya bu konuda bilgisi olan biri varsa yardımcı olabilir mi? Ne yapmam gerekiyor? Yardımcı olur musunuz?
44,Üyeliğimin iptalini istedim. Karşıma muhatap bulamadım. E-devlet üzerinden üyeliğimin iptalini sağladım. Vermiş oldukları modemi kendilerine yolladım ama şu an kendilerine ulaşamıyorum. İyi ki bırakmışım. Millenicom müşteri temsilcisi yok numarası yok olsa da muhatap yok.
45,@DigiturkDestekGökhan kim acaba ? Ben Özgür
46,@meLizmist @DominosTR @DominosDestek Pizzanın üstündeki taneler ne? Fare boku koymuş olmasınlar?
47,Telefon açtık mail attık tweet attık DM kutumuz da açık ama bize henüz dönüş yapılmadı aralıkta başvurduğumuz pasaport için. Lütfen acilen yardımcı olur musunuz? @TCNufus @TCNufusDestek @sefikaygol
48,Müşteri Hizmetleri korkunç! Hiç kimse telefonda onbeş dakika beklememeli. Üç kere aradım sonuç yok! Hâlâ görüşebilmiş değilim! @Akbank @AkbankDestek
49,Extranet interneti kullanıyorum senelerdir geçen sene yeniledim taahhüt yaptılar iki senelik daha bir senem dolunca mesaj geldi. Fiyatı yükseltmişler arayıp söylediğimde zorunlu sebeplerden dolayı deyip iptal etmiyorlar. Bu taahhüt boşuna mı yapılıyor ben kabul etmiyorum. Ben anlaştığım fiyat üzerinden daha bir senelik taahhüdüm bulunmakta gereğinin yapılmasını istiyorum.
50,@mataydeniz @kuveytturk @KTDestek Esnafın iban korkusu daha çok baş ağrıtacak gibi görünüyor.
51,Valla bravo koskoca @Akbank gölcük şubesinde 1 kasa var ve ayakta bekleyen (oturan bile demiyorum çünkü oturulacak hiçbirşey yok) 46 kişi varpess..@akbank @AkbankDestek
52,Turkcell Cevahir AVM şubesinde 1 sene öncesinde iki adet telefon satın aldık faturamıza ek olarak. Sözleşme aşamasında yardımcı olan kişi bize iki adet hediye kulaklık vereceğini söyledi. Ama telefonların taksiti bittikten sonra fark ettik ki hediye denilen kulaklıkların da ücretlerini 24 ay olacak şekilde ayarlamışlar. Şube ve müşteri hizmetleri yardımcı olmuyorlar. Bu kadar insanın hakkına giriyorsunuz sizin gibi firmaya yakışmıyor. Tüketici Hakem Heyeti'ne başvuruyorum Şu anda. Hediye diye bas edilen iki adet kulaklığın ücret iadesini talep ediyorum.
53,Türk Telekom taahhüdünüz bitiyor diyerek Türk Telekom'dan arıyormuş gibi yalan söyleyerek Türk Telekom'un altyapısını kullandığınızı söyleyip en uygun kampanyaya sahip diye Sade Net geçişi yaptım. Bir hafta sonra gerçekten Türk Telekom'dan aradılar ve Türk Telekom taahhüdümün bittiği söylenerek kampanya önerdiler (hem de Sade Net'ten daha uygun). Sonuç olarak Türk Telekom aboneliğim iptal oldu. Geçiş falan yapmamışım ve şu an internetim yok. Siz nasıl yanıltıcılarsınız! İlk aradıklarında görüşmeyi erteleyip internetten Türk Telekom kampanyalarını kontrol etmeme rağmen müşterileriymişim gibi beni ikna etmeyi başardılar. Şimdi iptal etmeye çalışsam ya bir ton para ödeyeceğim ya da uğraşacağım. Dava etmeyeyim de ne yapayım?
54,WhatsApp'ta yabancı numaralardan mesaj gelmesi. Bugün WhatsApp'ta +880 1322-591039 numaralı işletme hesabından \
55,Superonline internet kullanıcısıyım. 50 MBp/s upload olmasına rağmen Twitch yayını yaparken drop ve kasma sorunu yaşıyorum. İlk aldığımda böyle bir sorun yoktu fakat son zamanlarda yayın açamaz ve mesleğimi yapamaz hale geldim. Hız testlerinde değerler normal fakat yayında 5 Mbps internet ile yaptığım kalitede bile yapamıyorum. \n\nYaklaşık 1 yıl önce de aynı problemi yaşamıştım ve binaya gelen sinyalin yüksek olduğundan kaynaklandığı tespit edildi. Teknik servisin gelerek bu mağduriyetimin giderilmesini istiyorum.
56,Trendyol'dan bir daha supplement almak mı? No way. Şişesi kırık geldi. Param çöpe gitti 🤧🤧 @TrendyolDestek
57,Yaklaşık 1 senedir kullandığım Turkcell Superonline internet sağlayıcıda Devamlı sorun yaşamaktayım. Bir ay bile sorunsuz internet kullanamadım. Devamlı kopma donma internete girememe sorunu oluşmakta. Müşteri hizmetleri ayrı sorun. Buldukları çözüm modemim uzun süre açık kalıyormuş onun için donma ve kopma yaşıyormuşum istersem ücretli servisi evime yönlendirecekmiş o bakınca sisteminde sorun görünmüyormuş. Modemde kendilerinin modemi. Turkcell super onlinea geçecekler iyi düşünsün.
58,15 Haziran günü Gaming Gen TR'den harddisk sipariş ettim. 5 gün oldu ürünüm hala kargolanmadı. Acil işlerim var fakat işlerimi halledemiyorum. Yardımcı olacağınızı düşünmüyorum. Lütfen ama lütfen yardımcı olun 5 gündür kargolanmasını bekliyorum.
59,Cihaz ziyadesiyle güzel ancak ben 7'si bir arada olarak sipariş vermeme rağmen 6'sı bir arada olarak teslim alabildim. Ek ödeme yapmış olmama rağmen gösterilen parça gönderilmemiş sanırım bunun için sıfır yıldız vermek isterdim açıkçası.
60,Aldığım set yarın gelecek yarın gelecek diye söylene söylene 15 gündür bekliyorum bu mudur müşteri memnuniyeti @EvkurDestek @EvkurOnline
61,gayet sağlam görünüyor poşetler. daha önce marketten aldıklarım hava kaçırıyor şu an bu poşetlerde o mevzu görülmedi
62,Saat 20.30 dan 21.40 a kadar bekledim ve bir araç geldi ayakta duracak yeri yok. Bildiğiniz balık istifi yolculuk ve başka araç yokmuş 1 saat 10 dakikada hiç mi araç gelmez.\n\nİlla son araç diye garajdan doldurmadan kalkmıyorlar ve biz burada mağdur oluyoruz... 1 saatte bir araç kalkmıyor ve gelen araçta neredeyse iki araç dolduracak yolcu var.\n\nAyıp ayıp gereğinin yapılmasını rica ediyorum... Ve öyle bir şey ki saat 19.30 dan beri yazıhaneyi arıyorum bir kişi bile açmıyor bu mu hizmet! Bir tek Söke birlikte var aydında bu sıkıntı. Neredeyse her akşam yaşanan bir durum son araç diye başka araç çıkarmamak için zorla bir saat bekletiyorlar ve sonra bildiğiniz balık istifi kimi bulursa doldura doldura gidiyor.\n\nRica ediyorum akşam saatlerinde otobüslerde yolcu alabilsin bu durumlarla karşı karşıya kalmak aşırı sıkıcı... Umarım çözülür...
63,Vodafone kurumundan faturalı hat kullanıyorum. Sözleşmem bitti ve paketler aşırı pahalı. Faturasıza geçiş yapmak istedim. Paketin yenilenme tarihinde geçiş yapabileceklerini söylediler. Yani paketimin sözleşmesinin bitmiş faturası 660 TL yenilenecek sonrasında faturasıza geçiş yapacaklar ve bana bu faturayı ödetecekler. Kullanmayacağım paketin faturasını neden ben ödüyorum? Neden yenilenmeden geçiş sağlanmıyor anlayamıyorum. Ben bugün geçiş yapmak istedim kabul etmiyorlar.
64,11 Haziran 2021 tarihinde kazanmış olduğum formam elime ulaşmadı. Cimere yazdım yardımcı olmadılar kazanmış olduğum formamı gönderir misiniz? @kasapoglu @gencliksporbak @GSBdestek @KYK_DESTEK
65,7 dakikadır size ulaşmaya çalışıyorum sadece robot sesten hariç bir insan sesi duymak için @VodafoneDestek
66,19.06.2024 salıyı çarşambaya bağlayan gece enuygun.com üzerinden 5149091 rezervasyon numaralı metis bungalow adlı isletme için 3 gecelik rezervasyon yaptım. Sabah kalkıp hazırlıkları yapıp Bursa dan yola çıktık. Saat 10:30 da Enuygun müşteri hizmetleri arayıp o otelde yer olmadığını ve iptal edildiğini söyledi. Madem yer yok neden rezervasyon alıyorsunuz. Dalga geçer gibi bir de diyor ki bana temsilci; gece 01:30 civarı rezervasyon yapmışsınız o saatte rezervasyon olmaz demeye getiriyor... Guler misin ağlar mısın. Çocuklarım hazırlandığı ve yolda olduğumuz için mecburen başka otel ayarlamak zorunda kaldım ve tam 9 bin tl fazla para vermek zorunda kaldım. Hem metis bungalovu hem de enuygun.com isimli işletmeyi bayram sonrası turizm ve kültür Bakanlığına şikayet edeceğim
67,18.06.24 tarihinde VakıfBank ATM’sini kullanarak Ziraat kartıma para yatırdım. Başta parayı kabul etmedi düzeltip tekrar koyunca işleme devam edemiyoruz deyip kartımı iade etti paramı vermedi.\nİki bankanın da müşteri temsilcisiyle iletişime geçtim. Fakat param hâlâ yatmadı. Mağdur edildim üstüne bekletiliyorum. Buna çözüm bekliyorum
68,21/10/2020 Saat 13;30 ile 16;00 arası lütfen elektriği kesmeyin.ADANASPOR'un maçı var keserseniz izleyemem...@toroslardestek @enerjisa
69,Çiçeğin yarısı nerde ? Ölmüş bu çiçek ölmüş cenazesini kaldıralım diye mi gönderdiniz? @ciceksepeti @csdestek
70,Değerli @AkbankDestek@Akbankhem sabit numara arıyorsunuz (0212)3857180 arıyorsun geri döndüğümüzde neden ulaşamıyoruzacaba
71,@ZiraatDestek mobil bankacılık şifresi almak istiyorum
72,Marmara Forum Starbucks'ta nedense akşam 8 civarında hep buzlar bitiyor ve buzlu herhangi bir içecek içemiyoruz. Üç-dört seferdir bu başımıza geliyor. Gereken servisi veremeyecekseniz kapatın şubeyi. Bu yaz ayında illa ki sıcak içecek içmek zorunda değilim. Gerekli düzeltmeyi yaparsanız sevinirim!
73,Kayseri’de şehrin ortasında şebeke çekmiyor. Şu twiti atarken bile 10 dakika bekledim. Böyle bir rezalet olamaz. @VodafoneTR @VodafoneDestek
74,Bunu yapanlar vatana ihanetten yargılanmalıdır @AliYerlikaya @TC_icisleri @TC_Disisleri @disisleridestek @iletisim @fahrettinaltun @RTErdogan @HakanFidan
75,Üyeliğimi iptal edemiyorum müşteri hizmetleri açmıyor. Ve benim kartımdan para çekti Ben aboneliğimin iptal olmasını istiyorum. Ve bu sorunu sadece ben yaşamıyorum. Çok insan yaşıyor. Ben de mağdur olmak istemiyorum. Bu sorunun düzeltilmesi gereklidir
76,7 yıl önce sattığım arabadan hgs ücreti kesilmiş derhal iadesini talep ediyorum @ziraatbankasi @ziraatkatilim @ziraatyatirim @ziraatsanat @ZiraatDestek @zkvefa @ZKdestek
77,Şikayet\nİş Bankası kredi kartı 17 Haziran’da bilgim dışında karttan işlem yapılmıştır. Gereğinin yapılmasını arz ederim. İşlem bilgim dışındadır. İş Bankası bu harcama için nasıl olur da onay kodu istemeden tutarı çekiyor? Bu kadar mı güvenliğiniz var? Sözde Türkiye'de sayılı bankalardansınız.
78,Avrupa maçlarındaki forma sponsoru olarak @GalatasaraySK'ya bu yolculukta başarılar dileriz!
79,Tek veya çift kişilik günlük basit smoothie işlemleri için çok güzel bir rüün.Az yer kaplıyorgüçlü ve temizliği kolay.Tek eksisi kullanırken çalıştırmak için tuşu basılı tutmanız gerekiyor ve küçük çaplı buzları kurabilen makine kabuklu elma dilimini doğrayamıyor.
80,İstanbul dışındaki hastalarımıza ULAŞTIRMAK istediğimiz gıda kolilerimiz için yardımınıza ihtiyacımız var. Bir destek de sen çık💪🏻@PTTKurumsal @PTTDestekTakip @YurticiKargo @YurticiDestek @mngkargo @UPSTurkiye @UPSDestek @araskargo @ArasKargoDESTEK @SuratKargoTR @DHLExpressTR
81,Araç kumandası için aldım. İşimi gördü.
82,İŞKUR evde paketleme İŞKUR adı altında bilgi almadan 19.06.2024 tarihinde İŞKUR logolu ve anlaşmalı olan evde paketleme başvurusu yaptım. Sonra bir araştırma yapmak geldi aklıma. Önlem almak için buraya şikayetimi yazmak istiyorum. Ad soyadım telefon numaram T.C. kimlik numaram ve açık adresimi yazmıştım. Bu yüzden bu tarihten itibaren benim kimlik bilgilerimle ve kişisel bilgilerimle herhangi bir hesap açılırsa ya da bir işlem yapılırsa benim ıslak imzam ya da açık rızam olmadan yapılan işlemlerden hiçbir şekilde sorumluluk ve mesuliyet kabul etmediğimi bu sayfada belirtmek isterim. Bu sayfadaki şikayetimle resmi olarak bilgilendirilmiş bulunuyorum. Gereğinin ilgili kurumlarca yapılmasını arz ve rica ederim.
83,@kuskunakpli @DominosDestek :)))))
84,#ÇocukHacizİnsanlıkSuçudur Çocuk Susar Sen Susma@adalet_bakanlik@ailebakanligi @magdurhaklari @MUHY7 @TRombudsman @AvSerefMalkoc @RT_Erdogan @EmineErdogan @abdulhamitgul @drbetulsayan @Akparti @aysekesir @AYMBASKANLIGI @tcbestepe @TC_Basbakan @BA_Yildirim @akittv @yeniakit
85,@ekarizma78 @ekarizma78 Merhaba DM üzerinden telefon numaranızı alabilir miyiz?
86,Birlikte çalışarak emek ve özveri ile yarınları inşa ettiğimiz 1 Mayıs'ı sevgi ve mutlulukla karşılıyoruz.#1Mayıs Emek ve Dayanışma Günü Kutlu Olsun!
